,name,bday,spouse,child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,age_diff,age_actress,age_spouse
620,Zsa Zsa Gabor,1917-02-06,Westwood Village Memorial Park Cemetery [2],Francesca Hilton,,"Actress, socialite","Budapest, Austria-Hungary",1899-02-01,"Istanbul, Ottoman Empire",Politician,18.012690198977392,102.1567862447552,120.16947644373259
621,Jacqueline Gadsden,,,,,,,,,,,,
622,Rita Gam,1927-04-02,"
 Sidney Lumet ( m.  1949;  div.  1954) 
 Thomas Guinzburg ( m.  1956;  div.  1963) 
",2,,Actress,"Pittsburgh, Pennsylvania, U.S.",1924-06-25,"Philadelphia, Pennsylvania, U.S.","Director, producer, screenwriter, actor",2.768023984065381,92.0073649698488,94.77538895391417
623,Aimee Garcia,1978-11-28,,,,Actress,"Chicago, Illinois, U.S.",,,,,40.348535561989635,
624,Ava Gardner,1922-12-24,Mickey Rooney ( m.  1942;  div.  1943) Artie Shaw ( m.  1945;  div.  1946) Frank Sinatra ( m.  1951;  div.  1957),,Rock Ridge High School,"Actress, singer","Grabtown, North Carolina, U.S.",1920-09-23,"Brooklyn, New York, U.S.","Actor, vaudevillian, comedian, producer, radio personality",2.2505595597445534,96.27849990075087,98.52905946049542
625,Beverly Garland,1926-10-17,"Bob Campbell (1945 divorced) Richard Garland (1951–53; divorced) Filmore Crank (1960–99, his death); 2 children",,,Actress,"Santa Cruz, California, U.S.",,,,,92.46459544001588,
626,Judy Garland,1922-06-10,"
 David Rose ( m.   1941 ;  div.  1944) 
 Vincente Minnelli ( m.   1945 ;  div.  1951) 
 Sidney Luft ( m.   1952 ;  div.   1965 ) 
 Mark Herron ( m.   1965 ;  div.  1969) 
 Mickey Deans  ( m.   1969 ) 
","Liza Minnelli, Lorna and Joey Luft",,"
Actress
singer
dancer
vaudevillian
","Grand Rapids, Minnesota, U.S.",,,,,96.8178675811276,
627,Jennifer Garner,1972-04-17,"
 Scott Foley ( m.  2000;  div.  2004) 
 Ben Affleck ( m.  2005;  div.  2018) 
",3,George Washington High School,"
Actress
film producer
","Houston, Texas, U.S.",1972-07-15,"Kansas City, Kansas, U.S.","Actor, director, screenwriter",-0.24367372362197717,46.96331889087387,46.7196451672519
628,Julia Garner,1994-02-01,,,,"
Actress
model
","New York City, U.S.",,,,,25.16957911524535,
629,Kelli Garner,1984-04-11,,,,Actress,"Bakersfield, California, U.S.",,,,,34.979499921285175,
630,Peggy Ann Garner,1932-02-03,Richard Hayes ( m.  1951;  div.  1953)   Albert Salmi ( m.  1956;  div.  1963) Kenyon Foster Brown ( m.  1964;  div.  1968),1,,"Actress, Real estate agent, Fleet car executive","Canton, Ohio, US",,,,,87.16674538149312,
631,Teri Garr,1944-12-11,John O'Neil ( m.  1993;  div.  1996),1,,"Actress, Dancer","Lakewood, Ohio, U.S.",,,,,74.31227198368208,
632,Greer Garson,1904-09-29,Edward Snelson ( m.  1933;  div.  1943) Richard Ney ( m.  1943;  div.  1947) Buddy Fogelson ( m.  1949; died 1987),,,"Actress, singer, philanthropist","Manor Park, East Ham, Essex, England",,,,,114.51296056729433,
633,Jennie Garth,1972-04-03,Daniel B. Clark ( m.  1994;  div.  1996) Peter Facinelli ( m.  2001;  div.  2013) Dave Abrams ( m.  2015; separated 2017),3,,Actress,"Urbana, Illinois, U.S.",,,,,47.00164958897171,
634,Ana Gasteyer,1967-05-04,Charlie McKittrick,2,,"Actress, singer, comedian","Washington, D.C., US",,,,,51.91893057352307,
635,Janina Gavankar,1980-11-29,Angelo Sotira  (2004–2010),,,"Actress, musician","Joliet, Illinois, U.S.",,,,,38.34438763287405,
636,Erica Gavin,1947-07-22,,,,Actress,"Los Angeles, California, US",,,,,71.70304660602203,
637,Rebecca Gayheart,1971-08-12,Eric Dane ( m.  2004;  sep.  2018),2,,"Actress, model","Hazard, Kentucky, U.S.",1972-11-09,"San Francisco, California, U.S.",Actor,-1.2457476881797709,47.64505773561401,46.39931004743424
638,Sami Gayle,1996-01-22,,,,Actress,"Weston, Florida, U.S.",,,,,23.198286070213626,
639,Janet Gaynor,1906-10-06,"September 14, 1984 (1984-09-14)  (aged 77) Palm Springs, California , U.S.",1,San Francisco Polytechnic High School,Actress,"Germantown, Philadelphia, U.S.",,,,,112.4951231031438,
640,Mitzi Gaynor,1931-09-04,"Jack Bean (married 1954–2006, his death)",,,"Actress, dancer, entertainer","Chicago, Illinois, U.S.",,,,,87.58290724655537,
641,Barbara Bel Geddes,1922-10-31,Carl Sawyer (né Schreuer) ( m.  1944;  div.  1951) Windsor Lewis ( m.  1951; died 1972),,,Actress,"New York City, U.S.",,,,,96.42634687912825,
642,Sarah Michelle Gellar,1977-04-14,Freddie Prinze Jr.  ( m.  2002),2,,Actressproducerentrepreneur,"New York City, U.S.",1976-03-08,"Los Angeles, California, U.S.",Actor,1.10063861680938,41.972114417133824,43.0727530339432
643,Gladys George,1904-09-13,Ben Erway  (m. 1922–1930; divorced) Edward Fowler  (m. 1933–1935; divorced) Leonard Penn   (m. 1935–1944; divorced) Kenneth Bradley  (m. 1946–1950; divorced),,,Actress,"Patten, Maine, U.S.",,,,,114.55676707940614,
644,Lynda Day George,1944-12-11,Joseph Pantano (1963–1970; one son) Christopher George  (1970–1983; his death; one daughter) Doug Cronin (1990–2010; his death),,,,"San Marcos, Texas, U.S.",,,,,74.31227198368208,
645,Melissa George,1976-08-06,Claudio Dabed ( m.  2000;  div.  2011),2,,Actress,"Perth, Western Australia, Australia",,,,,42.65932907588794,
646,Lauren German,1978-11-29,,,,Actress,"Huntington Beach, California, U.S.",,,,,40.34579765498265,
647,Gina Gershon,1962-06-10,,,,"Actress, singer, author","Los Angeles, California, U.S.",,,,,56.81704620902551,
648,Jami Gertz,1965-10-28,Antony Ressler  ( m.  1989),3,,"Actress, professional sports investor","Chicago, Illinois, U.S.",1959-07-16,,,6.286234488045613,53.432993148387716,59.71922763643333
649,Greta Gerwig,1983-08-04,Noah Baumbach  (2011-present),1,,Actressplaywrightdirectorscreenwriter,"Sacramento, California, U.S.",,,,,35.66671458003929,
650,Estelle Getty,1923-07-25,Arthur Gettleman ( m.  1947; died 2004),2,,"Actress, comedian","New York City, U.S.",,,,,95.69532570826232,
651,Cynthia Gibb,1963-12-14,Scott Kramer (divorced),3,,"Actress, model, teacher","Bennington, Vermont, U.S.",,,,,55.305721541167856,
652,Kelli Giddish,1980-04-13,Lawrence Faulborn ( m.  2015),2,Forsyth Central High School,Actress,"Cumming, Georgia, U.S.",,,,,38.974106244481405,
653,Sara Gilbert,1975-01-29,Linda Perry  ( m.  2014),3,,Actress,"Santa Monica, California, U.S.",1965-04-15,"Springfield, Massachusetts, United States","Singer-songwriter, musician, Record producer",9.790755456990903,44.17886746476656,53.96962292175746
654,Elizabeth Gillies,1993-07-26,,,,"
Actress
singer
","Haworth, New Jersey, U.S.",,,,,25.689781446573168,
655,Alexie Gilmore,1976-12-11,,,Theater major,Actress,"Manhattan, New York City, New York, United States",,,,,42.3116148860004,
656,Peri Gilpin,1961-05-27,Christian Vincent ( m.  1999),2,,"Actress, voice actress, producer","Waco, Texas, U.S.",,,,,57.85471296467416,
657,Annabeth Gish,1971-03-13,Wade Allen ( m.  2003),2,,Actress,"Albuquerque, New Mexico, United States",,,,,48.06121960067626,
658,Dorothy Gish,1898-03-11,James Rennie ( m.  1920;  div.  1935),,,"Actress, director, writer","Dayton, Ohio, U.S.",1889-04-18,"Toronto, Ontario, Canada",Stage and film actor,8.89545986570566,121.06477203501782,129.9602319007235
659,Lillian Gish,1893-10-14,,,,Actress,"Springfield, Ohio, U.S.",,,,,125.47006440926233,
660,Robin Givens,1964-11-27,Mike Tyson ( m.  1988;  div.  1989) Svetozar Marinković ( m.  1997;  div.  1998),2,,"Actress, model","New York City, New York, U.S.",1966-06-30,"Brownsville, Brooklyn, New York, U.S.
Boxing career",,-1.5879860640533345,54.35019199572886,52.76220593167553
661,Summer Glau,1981-07-24,Val Morrison,2,,Actress,"San Antonio, Texas, U.S.",,,,,37.695503672217775,
662,Lola Glaudini,1971-11-24,Stuart England (m. 2005),2,,Actress,"Manhattan, New York, United States",,,,,47.3603154068872,
663,Carlin Glynn,1940-02-19,Peter Masterson ( m.  1960; his death 2018),"3, including Mary Stuart Masterson",,"Actress, singer","Cleveland, Ohio, United States",1934-06-01,"Houston, Texas, U.S.","Film director, film producer, writer, actor",5.7194877375989925,79.12277459496089,84.84226233255987
664,Paulette Goddard,1910-06-03,Edgar James ( m.  1927;  div.  1932) Charlie Chaplin ( m.  1936;  div.  1942) Burgess Meredith ( m.  1944;  div.  1949)   Erich Maria Remarque ( m.  1958; died 1970),,,"Actress, film producer, dancer, model","Whitestone Landing, Queens, New York, U.S.",,,,,108.83727934180716,
665,Angela Goethals,1977-05-20,,,,Actress,"New York City, New York, U.S.",,,,,41.873549764882235,
666,Tracey Gold,1969-05-16,Roby Marshall ( m.  1994),4,,Actress,"New York City, New York, U.S.",,,,,49.88466566733061,
667,Gage Golightly,1993-09-05,,,,Actress,,,,,,25.57752725928664,
668,Minna Gombell,1892-05-28,"Howard Chesham Rumsey (1916 - 1921, divorce) Joseph W. Sefton Jr. (1933 - 1954, divorce) Myron Coureval Fagan ??? (?-1972) (his death)",,,Actress,"Baltimore, Maryland, U.S.",,,,,126.84996954078454,
669,Selena Gomez,1992-07-22,Selena Gomez & the Scene,,,Singeractressproducer,"Grand Prairie, Texas, U.S.",,,,,26.700069132151928,
670,Meagan Good,1981-08-08,DeVon Franklin  ( m.  2012),,,ActressDirector,"Panorama City, Los Angeles, California, U.S.",1978-04-13,"Oakland, California, U.S.","TV/Film producer, Author, Preacher, Television Personality",3.3210811994770597,37.65443506711294,40.975516266590006
671,Ginnifer Goodwin,1978-05-22,Josh Dallas  ( m.  2014),2,,"Actress, voice actress","Memphis, Tennessee, U.S.",1978-12-18,"Louisville, Kentucky, U.S.",Actor,-0.5749604714675866,40.86873789331745,40.29377742184987
672,Lecy Goranson,1974-06-22,,,,Actress,"Evanston, Illinois, U.S.",,,,,44.78394491331102,
673,Ruth Gordon,1896-10-30,"
 Gregory Kelly (married 1921–1927, his death) 
 Garson Kanin (married 1942–1985, her death) 
",Jones Harris (born 1929),,"Actress, writer","Quincy, Massachusetts, U.S.",,,,,122.42551181749111,
674,Alice Ghostley,1923-08-14,Felice Orlandi  (1953–2003; his death),,,"Actress, singer[1]","Eve, Vernon County, Missouri, U.S.",,,,,95.64056756812255,
675,Betty Grable,1916-12-18,Jackie Coogan ( m.  1937;  div.  1939) Harry James ( m.  1943;  div.  1965),2,,"
Actress
pin-up girl
dancer
model
singer
","St. Louis, Missouri, U.S.",1914-10-26,"Los Angeles, California, U.S.","Actor, comedian",2.14651909347899,102.29368159510462,104.44020068858362
676,Maggie Grace,1983-09-21,Brent Bushnell ( m.  2017),,,"
Actress
model
","Worthington, Ohio, U.S.",,,,,35.53529504370384,
677,Heather Graham,1970-01-29,,,,Actress,"Milwaukee, Wisconsin, U.S.",,,,,49.178285659527575,
678,Kat Graham,1989-09-05,Cottrell Guidry (2008–2014),,,"
Actress
singer
dancer
model
","Geneva, Switzerland",,,,,29.577609396496847,
679,Lauren Graham,1967-03-16,Peter Krause   (2010–present),,,"
Actress
novelist
","Honolulu, Hawaii, U.S.",,,,,52.05308801686551,
680,Gloria Grahame,1923-11-28,Stanley Clements ( m.  1945;  div.  1948) Nicholas Ray ( m.  1948;  div.  1952) Cy Howard ( m.  1954;  div.  1957) Anthony Ray ( m.  1960;  div.  1974),4,Hollywood High School,Actress and singer,"Los Angeles, California, U.S.",1926-07-16,"Long Island, New York, U.S.",Actor/Comedian,-2.6311286337159556,95.35034942538176,92.7192207916658
681,Ariana Grande,1993-06-26,"
 Singer 
 songwriter 
 actress 
",,,"
Singer
songwriter
actress
","Boca Raton, Florida, U.S.",,,,,25.771918656782823,
682,Beth Grant,1949-09-18,Michael Chieffo,Mary Chieffo,,Actress,"Gadsden, Alabama, U.S.",,,,,69.5428379775081,
683,Lee Grant,,Arnold Manoff ( m.  1951;  div.  1960)  1 child Joseph Feury ( m.  1962),Dinah Manoff,,Actress and director,"New York City, New York, U.S.",1914-04-25,"New York City, U.S.",Screenwriter,,,104.9439755778695
684,Bonita Granville Wrather,1923-02-02,Jack Wrather ( m.  1947; his death 1984),2,,Actress,"New York City, U.S.",1918-05-24,"Amarillo, Texas, U.S.",Television producer,4.695510516985291,96.16898362047134,100.86449413745662
685,Karen Grassle,1942-02-25,Dr. Scott Sutherland (1991 - 1997) (divorced)   James Allen Radford (1982 -1987) (divorced) (1 child)   Leon Russom  (1966-1970) (divorced),,,Actress,"Berkeley, California, U.S.",,,,,77.10493713081036,
686,Erin Gray,1950-01-07,"
 Ken Schwartz ( m.  1968–1990)     1 child 
 Richard Hissong ( m.  1991)     1 child 
",,,"Film, television actress","Honolulu, Territory of Hawaii",,,,,69.23893029973237,
687,Linda Gray,1940-09-12,Ed Thrasher  (1962–1983) (divorced),Kehly Thrasher-Sloane (b. 1966)Jeff Thrasher (b. 1964),,"Actress, director, producer","Santa Monica, California, U.S.",,,,,78.55876575152125,
688,Ari Graynor,1983-04-27,,,Buckingham Browne & Nichols,Actress,"Boston, Massachusetts, U.S.",,,,,35.93776737373115,
689,Kathryn Grayson,1922-02-09,John Shelton ( m.  1941;  div.  1946) Johnnie Johnston ( m.  1947;  div.  1951),1,,"Actress, singer","Winston-Salem, North Carolina, U.S.",,"Los Angeles, United States",Actor,,97.14915432897321,
690,Alice Greczyn,1986-02-06,,,,"Actress, model","Walnut Creek, California, U.S.",,,,,33.15605385463083,
691,Kerri Green,1967-01-14,,,,Actress,"Fort Lee, New Jersey, US",,,,,52.22010034429181,
692,Ashley Greene,1987-02-21,Paul Khoury  ( m.  2018),,,Actress,"Jacksonville, Florida, U.S.",,,"TV personality, voice talent",,32.115649191975194,
693,Judy Greer,1975-07-20,Dean E. Johnsen  ( m.  2011),,DePaul University (BFA),"
Actress
author
","Detroit, Michigan, U.S.",,,,,43.70794745956454,
694,Kim Greist,1958-05-12,,,,Actress,"Stamford, Connecticut",,,,,60.89652764943839,
695,Jennifer Grey,1960-03-26,Clark Gregg  ( m.   2001 ),1,,Actress,"Manhattan, New York, U.S.",1962-04-02,"Boston, Massachusetts, U.S.","Actor, director, screenwriter, voice actor",-2.01783746415053,59.02379925665825,57.00596179250772
696,Virginia Grey,1917-03-22,,,,"Actress, Singer","Edendale, California, U.S.",,,,,102.0363183364477,
697,Pam Grier,1949-05-26,Kareem Abdul-Jabbar [1]   (1969–1971) Freddie Prinze [2] [1] (1973–1975) Richard Pryor (1976–1977) Kevin Evans (1997–1999),,East High SchoolMetropolitan State College,Actress,"Winston-Salem, North Carolina, U.S.",,,,,69.85769728331178,
698,Corinne Griffith,1894-11-21,Webster Campbell  (m.1920–div.1923) Walter Morosco  (m.1924–div.1934) George Preston Marshall  (m.1936–div.1958) Danny Scholl (m.1965–div.1965),,Sacred Heart Convent,"Actress, producer, author","Texarkana, Texas, U.S.",,,,,124.36668788544597,
699,Melanie Griffith,1957-08-09,Don Johnson ( m.  1976;  div.  1976) ( m.  1989;  div.  1996) Steven Bauer ( m.  1981;  div.  1989) Antonio Banderas ( m.  1996;  div.  2015),"3, including Dakota Johnson",Hollywood Professional School,Actress,"New York City, U.S.",1949-12-15,"Flat Creek, Missouri, U.S.","Actor, producer, director, singer, songwriter",7.64971217752589,61.652189983367215,69.3019021608931
700,Tracy Griffith,1965-10-19,Mark Daley   ( m.  2011),,,"Actress, chef","New York City, New York, U.S.",,,,,53.45763431145061,
701,Leslie Grossman,1971-10-25,Jon Bronson ( m.  2000),1,,Actress,"Los Angeles, California, U.S.",,,,,47.44245261709686,
702,Fiona Gubelmann,1980-03-30,Alex Weed [1],,,Actress,"Santa Monica, California, U.S.",,,,,39.01243694257924,
703,Carla Gugino,1971-08-29,Sebastian Gutierrez  (2005-present),,,Actress,"Sarasota, Florida, U.S.",,,,,47.59851331649521,
704,Ann Morgan Guilbert,1928-10-16,"
 George Eckstein ( m.  1951;  div.  1966) 
 Guy Raymond ( m.  1967; died 1997) 
","
Hallie Todd (daughter)
Nora Eckstein (daughter)
",,Actress,"Minneapolis, Minnesota, U.S.",1928-05-03,"Los Angeles, California, U.S.",,0.4544925631600923,90.46592332491427,90.92041588807436
705,Grace Gummer,1986-05-09,,,,Actress,"New York City, New York, U.S.",,,,,32.90416640998789,
706,Mamie Gummer,1983-08-03,Benjamin Walker ( m.  2011;  div.  2013),1,,Actress,"New York City, New York, U.S.",1982-06-21,"Cartersville, Georgia, U.S.","Actor, stand-up comedian",1.117066058851311,35.66945248704628,36.786518545897586
707,Anna Gunn,1968-08-11,Alastair Duncan ( m.  1990;  div.  2009),2,,Actress,"Cleveland, Ohio, U.S.",1958-02-07,"Edinburgh, Scotland","Actor/voice actor, real estate broker",10.508087092821892,50.64580381527342,61.153890908095306
708,Danai Gurira,1978-02-14,,,Macalester College (BA)New York University (MFA),"Actress, playwright","Grinnell, Iowa, U.S.",,,,,41.13431487299534,
709,Jasmine Guy,1962-03-10,Terrence Duckett ( m.  1998;  div.  2008),1,,Actresssingerdancerdirector,"Boston, Massachusetts, U.S.",,,,,57.06893365366845,
710,Maggie Gyllenhaal,1977-11-16,Peter Sarsgaard  ( m.  2009),2,Columbia University (BA),Actress,"New York City, New York, U.S.",1971-03-07,"St. Clair County, Illinois, U.S.",Actor,6.69692053909389,41.3807265036243,48.07764704271819
711,Shelley Hack,1947-07-06,Harry Winer  ( m.  1990),Devon Rose Winer (b. 1990)[1][2],Smith College (AB)New York Institute of Technology (MBA),"Actress, producer, model, advisor","Greenwich, Connecticut, U.S.",1947-06-04,"Detroit, Michigan","Director, Producer, Writer",0.08761302422363225,71.74685311813384,71.83446614235747
712,Joan Hackett,1934-03-01,Richard Mulligan ( m.  1966;  div.  1973),,,Actress,"East Harlem, New York, U.S.",1932-11-13,"The Bronx,[1] New York City, New York, U.S.",Actor,1.2950300143055642,85.09414977720282,86.38917979150838
713,Martha Hackett,1961-02-21,Actress,2,,Actress,"Boston, Massachusetts, U.S.",,,,,58.11481413033806,
714,Sara Haden,1898-11-17,Richard Abbott  (1921-1948; divorced),,,Actress,"Galveston, Texas, U.S.",,,,,120.37755737626371,
715,Molly Hagan,1961-08-03,,,,Actress,"Minneapolis, Minnesota",,,,,57.66853528819894,
716,Jean Hagen,1923-08-03,Tom Seidel (m. 1947–1965; divorced; 2 children),,,Actress,"Chicago, Illinois, U.S.",,,,,95.67068454519942,
717,Uta Hagen,1919-06-12,José Ferrer   (m.1938–1948; divorced)   Herbert Berghof   (m.1957–1990; his death),1,University of Wisconsin High School,Actress,"Göttingen, Germany",,,,,99.81313784677303,
718,Julie Hagerty,1955-06-15,Peter Burki ( m.  1986;  div.  1991) Richard Kagan ( m.  1999),,,Actress,"Cincinnati, Ohio, U.S.",,,,,63.804184890860185,
719,Leisha Hailey,1971-07-11,"
 Camila Grey  (2011-2016  ( 2011-2016 ) ) 
 kd lang  (1996-2001  ( 1996-2001 ) ) 
",,,"Actress, musician","USCAR, Ryukyu Islands, Japan",,,,,47.73267075983764,
720,Barbara Hale,1922-04-18,Bill Williams (married 1946–1992; his death),Jodi Katt (b. 1947)William Katt (b. 1951)Juanita Katt  (1953-2017),,Actress,"DeKalb, Illinois, U.S.",,,,,96.962976652498,
721,Lucy Hale,1989-06-14,American Juniors,,,"
Actress
singer
","Memphis, Tennessee, U.S.",,,,,29.804855678076894,
722,Grayson Hall,1922-09-18,"Bradbart ""Ted"" Brooks ( m.  1946;  div.  1949) Sam Hall  ( m.  1952–1985)",1,,Actress,"Philadelphia, Pennsylvania, U.S.",,,,,96.54407688042876,
723,Rebecca Hall,1982-05-03,Morgan Spector  ( m.  2015),,,Actress,"London, England",1980-10-04,"Santa Rosa, California, U.S.",Actor,1.5770344360253803,36.920675989240024,38.4977104252654
724,Regina Hall,1970-12-12,,,,"
Actress
","Washington, D.C., U.S.",,,,,48.31036913831222,
725,Veronica Hamel,1943-11-20,Michael Irving ( m.  1971;  div.  1981),,,"Actress, model","Philadelphia, Pennsylvania, U.S.",,,,,75.37184199538663,
726,Linda Hamilton,1956-09-26,"
 Bruce Abbott ( m.  1982;  div.  1989) 
 James Cameron ( m.  1997;  div.  1999) 
",2,,Actress,"Salisbury, Maryland, U.S.",1954-07-28,"Portland, Oregon, U.S.",Actor,2.1656844425279096,62.52010650458257,64.68579094711048
727,LisaGay Hamilton,1964-03-25,Robin D. G. Kelley  ( m.  2009),,Carnegie Mellon UniversityNew York University (BFA)Juilliard School (GrDip),"
Actress
","Los Angeles, California, U.S.",,,,,55.026455026455025,
728,Margaret Hamilton,1902-12-09,Paul Meserve ( m.  1931;  div.  1938),1,Hathaway Brown School,"Actress, schoolteacher","Cleveland, Ohio, U.S.",,,,,116.31997919190675,
729,Barbra Hancock,1949-11-21,,,,Actress,"Atlanta, Georgia",,,,,69.36761192906083,
730,Daryl Hannah,1960-12-03,Neil Young  ( m.  2018),,,Actressenvironmental activist,"Chicago, Illinois, U.S.",,,,,58.33384669089715,
731,Alyson Hannigan,1974-03-24,Alexis Denisof  ( m.   2003 ),2,,"
Actress
television presenter
","Washington, D.C., U.S.",1966-02-25,"Salisbury, Maryland, U.S.",Actor,8.074087763609109,45.03035654393999,53.104444307549095
732,Sammi Hanratty,1995-09-20,,,,Actress,"Scottsdale, Arizona, U.S.",,,,,23.5377865390802,
733,Marcia Gay Harden,1959-08-14,Thaddaeus Scheel ( m.  1996;  div.  2012),3,"University of Texas, Austin (BA)New York University (MFA)",Actress,"La Jolla, California, U.S.",,,,,59.63982833323066,
734,Melora Hardin,1967-06-29,Gildart Jackson  ( m.  1997),2,,"Actress, singer","Houston, Texas, U.S.",,,"Actor, writer",,51.76560778113171,
735,Ann Harding,1902-08-07,Harry Bannister  (1926–1932) 1 child Werner Janssen  (1937–1962) 1 child,Jane Bannister (1928-2005)Grace Kaye Janssen,,Actress,"San Antonio, Texas, U.S.",,,,,116.65947966077333,
736,Mariska Hargitay,1964-01-23,Peter Hermann  ( m.   2004 ),3,,"Actress, director, executive producer","Santa Monica, California, U.S.",1967-08-15,"New York City, U.S.","Actor, producer, writer",-3.5592791090850597,55.19620526088831,51.63692615180325
737,Jean Harlow,1911-03-03,Charles McGrew ( m.  1927;  div.  1929) Paul Bern ( m.  1932; died 1932) Harold Rosson ( m.  1933;  div.  1934),,Ferry Hall School,Actress,"Kansas City, Missouri, U.S.",,,,,108.08983072889929,
738,Angie Harmon,1972-08-10,Jason Sehorn ( m.  2001;  div.  2016),3,,Actressmodel,"Highland Park, Texas, U.S.",,,,,46.64845958507019,
739,Elisabeth Harnois,1979-05-26,,,,Actress,"Detroit, Michigan, U.S.",,,,,39.85845020773869,
