,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
141,Bea Benaderet,1906-04-04,Jim Bannon ( m.  1938;  div.  1950) Eugene Twombly ( m.  1957; her death 1968),"2, including  Jack Bannon",St. Rose Academy High School,"Actress, voice actress","New York City , United States",1911-04-09,"Kansas City, Missouri , U.S.",Actor,Bea Benaderet ( m.  1938;  div.  1950) Barbara Cork ( m.  1961;  div.  1981),2; including  Jack Bannon [1]
142,Andrea Bendewald,1970-03-04,Mitch Rouse  ( m.  2001),2,High School of Performing Arts,,"New York City ,  New York , U.S.",1964-08-06,"Knoxville ,  Tennessee","Film ,  television actor",Andrea Bendewald,
143,Annette Bening,1958-05-29,"
 J. Steven White ( m.   1984 ;  div.  1991) 
 Warren Beatty  ( m.   1992 ) 
",4,San Diego Mesa CollegeSan Francisco State University (BA)American Conservatory Theater (MFA),Actress,"Topeka, Kansas , U.S.",,,,,
144,Constance Bennett,1904-10-22,Chester Hirst Moorhead ( m.  1921; annulled 1923) Philip Morgan Plant ( m.  1925;  div.  1929) Henri de la Falaise ( m.  1931;  div.  1940) Gilbert Roland ( m.  1941;  div.  1946) John Theron Coulter  ( m.  1946),3,,Actress,"New York City , U.S.",,,,,
145,Haley Bennett,1988-01-07,Joe Wright,1,,"
 Actress 
 singer 
 dancer 
","Fort Myers, Florida , U.S.",,,,,
146,Joan Bennett,1910-02-27,John Marion Fox ( m.  1926;  div.  1928) Gene Markey ( m.  1932;  div.  1937) Walter Wanger ( m.  1940;  div.  1965) David Wilde ( m.  1978),4,,Actress,"Fort Lee, New Jersey , U.S.",,,,,
147,Melissa Benoist,1988-10-04,Blake Jenner  ( m.  2013 or 2015; [a]   div.  2017),,The Academy of Theatre ArtsArapahoe High School,Actress singer dancer activist,"Houston , Texas, United States [1]",,,,,
148,Amber Benson,1977-01-08,,,,"Actress, writer, director, producer","Birmingham, Alabama , US",,,,,
149,Ashley Benson,1989-12-18,,,,Actress model,"Anaheim Hills, Anaheim, California , U.S.",,,,,
150,Jodi Benson,1961-10-10,Ray Benson ( m.  1984),2,,"Actress, voice actress, singer","Rockford, Illinois , U.S.",,,,,
151,Julie Benz,1972-05-01,John Kassir ( m.  1998;  div.  2007) Rich Orosco  ( m.  2012),,,Actress,"Pittsburgh ,  Pennsylvania , United States",1957-10-24,"Baltimore ,  Maryland ,  U.S.","Actor, voice actor, comedian",Julie Benz ( m.  1998;  div.  2007),
152,Candice Bergen,1946-05-09,Louis Malle ( m.  1980; died 1995) Marshall Rose  ( m.  2000),1,,"Actress, fashion model","Beverly Hills, California , U.S.",1932-10-30,"Thumeries ,  Nord , France","Film director ,  screenwriter ,  producer",Anne-Marie Deschodt ( m.  1965;  div.  1967) Candice Bergen  ( m.  1980),3
153,Polly Bergen,1930-07-14,Jerome Courtland  ( m.  1950–1955) Freddie Fields  ( m.  1957–1975) Jeffrey Endervelt ( m.  1982–1990),2 adopted children 1 stepchild,,"Actress, singer, writer, entrepreneur","Knoxville, Tennessee , U.S.",1926-12-27,"Knoxville, Tennessee , U.S.",Actor,"Polly Bergen  (1950-1955) (divorced) Janet Rose Gumprecht (1955-?) (divorced), 5 children Marlene Juttner (1984-2012) (his death)",
154,Elizabeth Berkley,1972-07-28,Greg Lauren  ( m.  2003),1,,Actress,"Farmington Hills, Michigan , U.S.",1970-01-06,"New York City , U.S.","Actor, painter",Elizabeth Berkley  ( m.  2003),1
155,Jeannie Berlin,1949-11-01,,,,"Actress, screenwriter","Los Angeles, California , U.S.",,,,,
156,Crystal Bernard,1961-09-30,,,,"Singer-songwriter ,  actress","Garland, Texas ,  U.S.",,,,,
157,Sandra Bernhard,1955-06-06,Sara Switzer,1,Saguaro High School,"
 Actress 
 comedian 
 singer 
 author 
","Flint, Michigan , U.S.",,,,,
158,Halle Berry,1966-08-14,David Justice ( m.  1993;  div.  1997) Eric Benét ( m.  2001;  div.  2005) Olivier Martinez ( m.  2013;  div.  2016),2,,Actress,"Cleveland ,  Ohio , U.S.",,,,,
159,Valerie Bertinelli,1960-04-23,Eddie Van Halen ( m.  1981;  div.  2007)   Tom Vitale  ( m.  2011),Wolfgang Van Halen,,"Actress,  spokesperson","Wilmington, Delaware , U.S.",1955-01-26,"Amsterdam , Netherlands",Musician songwriter producer arranger guitarist,Valerie Bertinelli ( m.  1981;  div.  2007) Janie Liszewski ( m.  2009),Wolfgang Van Halen
160,Angela Bettis,,,,,"Actress, producer, director",,,,,,
161,Troy Beyer,1964-11-07,Mark Burg  (1994–2000),,,"Psychologist, Author, Director, Screenwriter","New York City , U.S.",,,,,
162,Mayim Bialik,1975-12-12,Michael Stone ( m.  2003;  div.  2012),2,,"Actress, neuroscientist, author","San Diego ,  California , U.S.",,,,,
163,Leslie Bibb,1974-11-17,Rob Born ( m.  2003;  div.  2004),,Saint Gertrude High School,"Actress, photomodel","Bismarck, North Dakota , U.S. [1]",,,,,
164,Jessica Biel,1982-03-03,Justin Timberlake  ( m.   2012 ),1,Fairview High School,"
 Actress 
 model 
 producer 
 singer 
","Ely, Minnesota , U.S. [2]",1981-01-31,"Memphis, Tennessee , U.S.","
 Singer-songwriter 
 actor 
 dancer 
 record producer 
",Jessica Biel  ( m.  2012),1
165,Barbara Billingsley,1915-12-22,Glenn Billingsley ( m.  1941;  div.  1947) Roy Kellino ( m.  1953; died 1956) William Mortensen ( m.  1959; died 1981),2,Washington Preparatory High School,Actress,"Los Angeles , California, U.S.",,,,,
166,Rachel Bilson,1981-08-25,Hayden Christensen  (2007–2017),1,,Actress,"Los Angeles, California , U.S.",,,,,
167,Traci Bingham,1968-01-13,Robb Vallier ( m.  1998),,,"Actress, model, television personality","North Cambridge, Massachusetts , U.S.",,,,,
168,Thora Birch,1982-03-11,,,,"Actress, producer","Los Angeles ,  California , U.S.",,,,,
169,Kerry Bishé,1984-05-01,,,Montclair Kimberley Academy,Actress,New Zealand,,,,,
170,Summer Bishil,1988-07-17,,,,Actress,"Pasadena, California , U.S.",,,,,
171,Julie Bishop,1914-08-30,Walter Booth Brooks III ( m.  1936;  div.  1939) Clarence A. Shoop ( m.  1944; died 1968) William F. Bergin M.D.  ( m.  1968),"2, including  Pamela Susan Shoop",,Actress,"Denver ,  Colorado , U.S.",,,,,
172,Danielle Bisutti,1976-10-01,,,,"Actress, singer-songwriter, writer, producer","Los Angeles ,  California , U.S.",,,,,
173,Karen Black,1939-07-01,Charles Black ( m.  1960) Robert Burton ( m.  1973–1974) L. M. Kit Carson  ( m.  1975–1983) Stephen Eckelberry  ( m.  1987–2013),"3, including  Hunter Carson",,"Actress, screenwriter, singer, composer","Park Ridge, Illinois , U.S.",,,,,
174,Sofia Black-D'Elia,1991-12,,,,Actress,"Clifton, New Jersey , U.S.",,,,,
175,Joan Blackman,1938-05-17,Rockne Tarkington ( m.  1968;  div.  1970) Joby Baker ( m.  1959;  div.  1961),2,,Actress,"San Francisco, California , U.S.",1931-07-31,"Junction City, Kansas , United States",Actor,Joan Blackman ( m.  1968;  div.  1970),"Rockne Tarkington Jr. , Keith Tarkington, Ngai Tarkington"
176,Betsy Blair,1923-12-11,"March 13, 2009 (2009-03-13)  (aged 85) London , England",1,,Actress,"Cliffside Park ,  New Jersey , U.S.",1912-08-23,"Pittsburgh ,  Pennsylvania , US","Dancer, choreographer, director, actor, singer, producer","
 Betsy Blair ( m.  1941;  div.  1957) 
 Jeanne Coyne ( m.  1960; died 1973) 
 Patricia Ward  ( m.  1990) 
",3
177,Linda Blair,1959-01-22,,,,Actress producer activist,"St. Louis ,  Missouri , U.S.",,,,,
178,Patricia Blair,1933-01-15,Martin S. Colbert (m. 1965–1993; divorced),,,"Film ,  television   actress","Fort Worth, Texas , U.S.",,,,,
179,Selma Blair,1972-06-23,Ahmet Zappa ( m.  2004;  div.  2006),1,,Actress,"Southfield, Michigan , U.S.",,,,,
180,Amanda Blake,1929-02-20,Don Whitman ( m.  1954;  div.  1955) Jason Day ( m.  1964;  div.  1967) Frank Gilbert ( m.  1967;  div.  1982) Mark Spaeth ( m.  1984; His death 1985),,,Actress,"Buffalo, New York , US",,,,,
181,Susan Blakely,1948-09-07,Todd Merer  (m. 1969; div. 1981) Steve Jaffe (m. 1982–Present),,,Actress,"Frankfurt, Germany",,,,,
182,Ronee Blakley,1945-08-24,Wim Wenders ( m.  1979;  div.  1981),Sarah Blakley-Cartwright,,"Actress, singer","Nampa, Idaho , U.S.",1945-08-14,"Düsseldorf ,  Rhine Province , Germany","Filmmaker, director, screenwriter, playwright, author, photographer",Edda Köchl (1968–74) Lisa Kreuzer  (1974–78) Ronee Blakley  (1979–81) Isabelle Weingarten (1981–82) Donata Wenders ( m.  1993),
183,Jolene Blalock,1975-03-05,Michael Rapino ( m.  2003),3,,"Actress, model","San Diego, California , U.S.",,,,,
184,Rowan Blanchard,2001-10-14,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
185,Tammy Blanchard,1976-12-14,,1,,Actress singer,"Bayonne, New Jersey , US",,,,,
186,Alexis Bledel,1981-09-16,Vincent Kartheiser  ( m.  2014),1,,"Actress, model","Houston, Texas , U.S.",1979-05-05,"Minneapolis ,  Minnesota , U.S.",Actor,Alexis Bledel  ( m.  2014),1
187,Yasmine Bleeth,1968-06-14,Paul Cerrito ( m.  2002),,,Actress,"New York City , U.S.",,,,,
188,Joan Blondell,1906-08-30,George Barnes ( m.  1933;  div.  1936) Dick Powell ( m.  1936;  div.  1944) Mike Todd ( m.  1947;  div.  1950),"2, including  Norman S. Powell",,Actress,"Manhattan ,  New York City , U.S.",1892-10-16,"Pasadena, California , U.S.",Cinematographer,Joan Blondell ( m.  1933;  div.  1936) Melba Marshal Kruger  ( m.  19??),4
189,Nikki Blonsky,1988-11-09,,,,"Actress, singer, dancer","Great Neck, New York , U.S.",,,,,
190,Moon Bloodgood,1975-09-20,Grady Hall ( m.  2011;  div.  2018),2,,"Actress, model","Alliance, Nebraska , U.S.",,,,,
191,Verna Bloom,1938-08-07,Jay Cocks  ( m.  1969),,,Actress,"Lynn, Massachusetts , U.S.",,,,,
192,Emily Blunt,1983-02-23,John Krasinski  ( m.  2010),2,,Actress,"Wandsworth ,  London , England",1979-10-20,"Boston , Massachusetts, U.S.",Actor filmmaker,Emily Blunt  ( m.  2010),2
193,Ann Blyth,1928-08-16,James McNulty ( m.  1953; died 2007),5,,"Actress, singer","Mount Kisco, New York , U.S.",,,,,
194,Eleanor Boardman,1898-08-19,King Vidor ( m.  1926;  div.  1931) Harry d'Abbadie d'Arrast ( m.  1940; died 1968),2,,Actress,"Philadelphia, Pennsylvania , U.S.",1894-02-08,"Galveston, Texas , U.S.","Film director, producer, screenwriter",Florence Arto ( m.  1915;  div.  1924) Eleanor Boardman  ( m.  1926–1931) Elizabeth Hill (screenwriter)  ( m.  1932–1978),3
195,Mary Boland,1882-01-28,,,,Actress,"Philadelphia, Pennsylvania , U.S.",,,,,
196,Beulah Bondi,1889-05-03,,,,Actress,"Chicago, Illinois , U.S.",,,,,
197,Lisa Bonet,1967-11-16,Lenny Kravitz ( m.  1987;  div.  1993) Jason Momoa  ( m.  2017),3; including  Zoë Kravitz,Birmingham High School,Actress,"San Francisco ,  California , U.S.",1964-05-26,"New York City , New York, U.S.",Singer songwriter actor record producer,Lisa Bonet ( m.  1987;  div.  1993),Zoë Kravitz
198,Shirley Booth,1898-08-30,"Ed Gardner ( m.  1929;  div.  1942) William H. Baker, Jr. ( m.  1943; died 1951)",,P.S. 152,Actress,"Brooklyn ,  New York , U.S.",1901-06-29,"Astoria, New York","Actor, writer, and director",,
199,Olive Borden,1906-07-14,Theodore Spector ( m.  1931; annulled 1932) John Moeller ( m.  1934;  div.  1941),,,,"Richmond, Virginia , U.S.",,,,,
200,Alex Borstein,1973-02-15,Jackson Douglas ( m.  1999;  div.  2014),2,,"Actress, writer, producer, comedian","Highland Park, Illinois , U.S.",,,,,
201,Michelle Borth,1978-08-19,,,,Actress,"New York City ,  New York , U.S.",,,,,
202,Samantha Boscarino,1994-12-26,,,,"Actress, singer","Ventura County ,  California , U.S.",,,,,
203,Rachel Boston,1982-05-09,,,,Actress,"Chattanooga, Tennessee ,  U.S.",,,,,
204,Kate Bosworth,1983-01-02,Michael Polish  ( m.  2013),,,"
 Actress 
 model 
","Los Angeles, California , U.S.",1970-10-30,"El Centro, California , U.S.","Screenwriters ,  film producers ,  film directors ,  actors",Michael:  Kate Bosworth  ( m.  2013),
205,Barbara Bouchet,1943-08-15,Luigi Borghese ( m.  1974;  sep  2006),2,,Actress,"Reichenberg,  Sudetenland ,  Germany  (present-day  Liberec ,  Czech Republic )",,,,,
206,Julie Bovasso,,George Earl Ortman  (divorced),,,Actress,"Brooklyn, New York , U.S.",,,,,
207,Clara Bow,1905-07-29,Rex Bell ( m.  1931; died 1962),2,,,"Brooklyn ,  New York City , U.S.",,,,,
208,Katrina Bowden,1988-09-19,Ben Jorgensen  ( m.  2013),,,Actress,"Wyckoff, New Jersey ,  U.S.",,,,,
209,Andrea Bowen,,,,,,,,,,,
210,Julie Bowen,1970-03-03,Scott Phillips ( m.   2004 ;  div.  2018),3,Brown University,"Actress, model","Baltimore ,  Maryland , U.S.",,,,,
211,Jessica Bowman,1980-11-26,,,,Actress,"Walnut Creek, California , U.S.",,,,,
212,Jenna Boyd,1993-03-04,,,,Actress,"Bedford, Texas ,  U.S.",,,,,
213,Lara Flynn Boyle,1970-03-24,John Patrick Dee III ( m.  1996;  div.  1998) Donald Ray Thomas II  ( m.  2006),,,Actress,"Davenport, Iowa , US",,,,,
214,Lucy Boynton,1994-01-17,,,,Actress,"New York City , New York, U.S.",,,,,
215,Lorraine Bracco,1954-10-02,"
 Daniel Guerard ( m.  1979;  div.  1982) 
 Edward James Olmos ( m.  1994;  div.  2002) 
",2,,Actress,"Brooklyn, New York , U.S.",,,,,
216,Alice Brady,1892-11-02,James L. Crane (m.1919–div.1922),1 [1],,Actress,"New York City , U.S.",,,,,
217,Alexandra Breckenridge,1982-05-15,Alex Breckenridge,2,,"Actress, voice actress","Bridgeport, Connecticut , U.S.",,,,,
218,Tracey Elizabeth Bregman,1963-05-29,Ronald Recht ( m.  1987;  div.  2010),2,,Actress,"Munich ,  West Germany  (now  Munich, Germany )",,,,,
219,Lucille Bremer,1917-02-21,Abelardo Louis Rodriguez ( m.  1948;  div.  1963),4,,Actress Dancer,"Amsterdam ,  Montgomery County ,  New York ,  U.S.",,,,,
220,Eileen Brennan,1932-09-03,David John Lampson ( m.  1968;  div.  1974),2,,Actress,"Los Angeles , California, U.S.",,,,,
221,Amy Brenneman,1964-06-22,Brad Silberling  ( m.  1995),2,,"Actress, producer, writer","New London, Connecticut , U.S.",1963-09-08,"Washington D.C. , United States","Director, producer, screenwriter, actor",Amy Brenneman  ( m.  1995),2
222,Abigail Breslin,1996-04-14,,,,"Actress, singer","New York City ,  New York , U.S.",,,,,
223,Jordana Brewster,1980-04-26,Andrew Form  ( m.  2007),2,,"Actress, model","Panama City ,  Panama",,,Film producer,Jordana Brewster  ( m.   2007 ),2
224,Paget Brewster,1969-03-10,Steve Damstra ( m.   2014 ),,,Actress singer voice actress,"Concord, Massachusetts ,  United States",,,,,
225,Chloe Bridges,1991-12-27,Adam DeVine  (2015–present),,,Actress,"Thibodaux, Louisiana , US",,,,,
226,Alison Brie,1982-12-29,Dave Franco  ( m.  2017),,,Actress,"Hollywood ,  California , U.S.",1985-06-12,"Palo Alto, California , U.S.",Actor,Alison Brie  ( m.  2017),
227,Connie Britton,1967-03-06,John Britton ( m.  1991;  div.  1995),1,,"Actress, singer, producer","Boston, Massachusetts , U.S.",,,,,
228,Beth Broderick,1959-02-24,Brian Porizek ( m.  1998;  div.  2000) Scott Paetty  ( m.  2005),,,Actress,"Falmouth, Kentucky , U.S.",,,,,
229,Jayne Brook,1960-09-16,John Terlesky  (1996–present),2,,Actress,"Northbrook, Illinois , U.S.",,,,,
230,Geraldine Brooks,1925-10-29,"
 Herbert Sargent (m. 1958–1961; divorced) 
 Budd Schulberg  (m. 1964–1977; her death) 
",,,,"New York City , U.S.",,,,,
231,Louise Brooks,1906-11-14,A. Edward Sutherland ( m.  1926;  div.  1928) Deering Davis ( m.  1933;  div.  1938),,,"Actress, dancer, writer [1]","Cherryvale, Kansas , U.S.",1895-01-05,,,"5, including:  Marjorie Daw ( m.  1923;  div.  1925) Louise Brooks ( m.  1926;  div.  1928)",
232,Blair Brown,1946-04-23,Richard Jordan  (1976–1985),1,,Actress,"Washington, D.C. , U.S.",,,,,
233,Kimberly J. Brown,1984-11-16,,,,"Actor, model, voice actor","Gaithersburg, Maryland , U.S.",,,,,
234,Vanessa Brown,1928-03-24,Robert Alan Franklyn (1950–57; divorced) Mark Sandrich Jr. (1959–89; divorced; 2 children),,,Actress,"Vienna, Austria",,,,,
235,Yvette Nicole Brown,1971-08-12,,,,"Actress, voice actress, comedian","East Cleveland, Ohio , U.S.",,,,,
236,Leslie Browne,1957-06-29,Leonid Slepak [1],,,"dancer, actress","New York City, New York , U.S.",,,,,
237,Logan Browning,1989-06-09,,,,Actress,"Atlanta ,  Georgia , U.S.",,,,,
238,Joy Bryant,1974-10-18,Dave Pope ( m.   2008 ),,,Actress,"The Bronx ,  New York City , U.S.",,,,,
239,Tara Buck,1975-03-16,Actress,,,Actress,"Hailey, Idaho , U.S.",,,,,
240,Kira Buckland,1987-07-16,,,"University of Alaska Anchorage (B.A., 2007)",Voice actress,"Anchorage, Alaska , U.S.",,,,,
241,Betty Buckley,1947-07-03,Peter Flood ( m.  1972;  div.  1979),,,"Actress, singer","Big Spring , Texas, U.S.",,,,,
242,Sandra Bullock,1964-07-26,Jesse G. James ( m.   2005 ;  div.   2010 ),2,,"Actress, producer, philanthropist","Arlington, Virginia , U.S.",1969-04-19,"Long Beach ,  California , U.S. [1]","
 Television personality 
 welder 
 fabricator 
 blacksmith 
",Karla James  ( m.  1991–2002) Janine Lindemulder ( m.  2002;  div.  2004) Sandra Bullock ( m.  2005;  div.  2010) Alexis DeJoria  ( m.  2013),3
243,Cara Buono,,Peter Thum,1,,Actress,"The Bronx, New York , U.S.",,,,,
244,Billie Burke,1884-08-07,Florenz Ziegfeld ( m.  1914; died 1932),Patricia Ziegfeld Stephenson,,Actress,"Washington, D.C. , U.S.",1867-03-21,"Chicago, Illinois , U.S.","Producer,  impresario",Billie Burke  ( m.  1914),Patricia Ziegfeld Stephenson
245,Delta Burke,1956-07-30,Gerald McRaney  ( m.  1989),,,"Actress, producer, author","Orlando, Florida , U.S.",1947-08-19,"Collins, Mississippi ,  U.S.",Actor,"Beverly Root ( m.  1967;  div.  1971) 
 Pat Moran ( m.  1981;  div.  1989) 
 Delta Burke  ( m.  1989)",3
246,Brooke Burns,1978-03-16,Julian McMahon ( m.  1999;  div.  2002) Gavin O'Connor  ( m.  2013),2,,Actress television host model,"Dallas, Texas ,  U.S. [1]",1968-07-27,"Sydney ,  New South Wales , Australia","
 Actor 
 model 
",Dannii Minogue ( m.  1994;  div.  1995) Brooke Burns ( m.  1999;  div.  2001) Kelly Paniagua  ( m.  2014),1
247,Catherine Burns,1945-09-24,,,,Actress,"New York City, New York , U.S.",,,,,
248,Heather Burns,1975-04-07,Ajay Naidu,,,"Film, television actress","Chicago, Illinois , U.S.",,,,,
249,Ellen Burstyn,1932-12-07,William Alexander ( m.  1950;  div.  1957) Paul Roberts ( m.  1958;  div.  1961) Neil Burstyn ( m.  1964;  div.  1972),1,Cass Technical High School,Actress,"Detroit ,  Michigan , U.S.",,,,,
250,Hilarie Burton,1982-07-01,"
 Ian Prange ( m.  2004;  div.  2009) 
 Jeffrey Dean Morgan  ( m.  2014) [1] 
",2,,"Actress, producer, television host","Sterling, Virginia , U.S.",,,,,
251,Kate Burton,1957-09-10,Michael Ritchie  ( m.  1985),2,Brown University (BA)Yale University (MFA),Actress,"Geneva ,  Switzerland",1957-10-17,"Worcester, Massachusetts , U.S.",Artistic director,Kate Burton  ( m.  1985),2
252,Sophia Bush,1982-07-08,Chad Michael Murray ( m.   2005 ;  div.   2006 ),,,"
 Actress 
 Activist 
 Director 
 Producer 
","Pasadena, California , U.S.",1981-08-24,"Buffalo, New York , U.S.","Actor, model, spokesperson, writer",Sophia Bush ( m.   2005 ;  div.   2006 ) Sarah Roemer  ( m.   2015 ),2
253,Brett Butler,1958-01-30,Charles Michael Wilson ( m.  1978–1981) Ken Zieger ( m.  1987–1999),,,"Actress, writer, comedian","Montgomery, Alabama ,  U.S.",,,,,
254,Yancy Butler,1970-07-02,,,,Actress,"Greenwich Village ,  Manhattan, New York , U.S.",,,,,
255,Spring Byington,1886-10-17,Roy Carey Chandler ( m.  1909–1920),2,,Actress,"Colorado Springs, Colorado , U.S.",,,,,
256,Amanda Bynes,1986-04-03,,,,Actress comedian fashion designer,"Thousand Oaks, California , U.S.",,,,,
257,Marion Byron,1911-03-16,Lou Breslow  (1932–1985; her death); 2 sons,,,"Film actress ,  comedian","Dayton, Ohio , U.S.",,,,,
258,Jeanne Cagney,1919-03-25,Kim Spalding  (aka Ross Latimer) (m. 1944–1952; divorced) Jack Sherman Morrison (m. 1953–1973; divorced),2,,"Film ,  television   actress","New York City, New York , U.S.",,,,,
259,Erin Cahill,1980-01-04,Paul Freeman  ( m.  2016),,,Actress,"Stafford, Virginia , United States",,,,,
260,L. Scott Caldwell,1950-04-17,,1,,Actress,"Chicago, Illinois , U.S.",,,,,
261,Alice Calhoun,1900-11-21,Mendel B. Silverburg (1926) Max Chotiner (1926–1938),,,Film actress,"Cleveland, Ohio , U.S.",,,,,
262,Sarah Wayne Callies,1977-06-01,Josh Winterhalt ( m.  2002),2,,Actress,"La Grange, Illinois , U.S.",,,,,
263,Vanessa Bell Calloway,1957-03-20,Anthony Calloway ( m.  1988),2,,Actress dancer,"Toledo, Ohio , U.S.",,,,,
